Id,Object,SubCat,Description,Links,,
0,Bed,"Headboard/Footboard, Mattress, Boxspring, Bedsheets","For your headboard and footboard, the safest way to go is powder coated metal or real wood sealed with safe stains and coatings. Painted products should be suspect. You can tell the difference between painted vs powder coating by using a penny to scrape the surface in an area not generally seen. Paint will scratch off easily vs powder coated surfaces which are much harder to remove. Mattresses come in many formats from the common coil and cloth to the various foams, and combinations. The key is to know the composition, is the foam petrochemical or natural, has there been any treatments to the fabrics and are they organic. Check the labels on the products and look for both the GOTS (Global Organic Trade Standard) certification, as one example of and ideal product. Remember there are many trade certifications that are meaningless, so look for more information on PureLiving.com. Boxes Springs and Foundations can be made in a number of ways, typically they consist of a wood frame, coils and are covered with fabric. They are often treated for stain and mold resistance and this poses a health problem. Check the labels and ask questions. When it comes to fabric-based products always check the label for the composition and any treatments of the items. Avoid the non-organics as remember the majority of pesticides are used in growing cotton and you don’t want to be sleeping, sweating and getting these chemicals in your body. Some items such as 100% bamboo may be a better option, or use GOTS (Global Organic Trade Standard) certified cotton products. For more details see PureLiving.com.",Links for info,,
1,Bed Frame,"Wood - real wood, press board; Fabric; Metal - painted, powder coated","For your headboard and footboard, the safest way to go is powder coated metal or real wood sealed with safe stains and coatings. Painted products should be suspect. You can tell the difference between painted vs powder coating by using a penny to scrape the surface in an area not generally seen. Paint will scratch off easily vs powder coated surfaces which are much harder to remove.",Links for info,,
2,Mattress,Conventional foam; memory foam; latex(real foam); hybrid; air; adjustable (electrical); cooling; water bed,"Mattresses come in many formats from the common coil and cloth to the various foams, and combinations. The key is to know the composition, is the foam petrochemical or natural, has there been any treatments to the fabrics and are they organic. Check the labels on the products and look for both the GOTS (Global Organic Trade Standard) certification, as one example of and ideal product. Remember there are many trade certifications that are meaningless, so look for more information on PureLiving.com.",Links for info,,
3,Box Spring,Foundation - woodframe covered with cloth;   Boxspring - wooden Frame covered with cloth; wooden frame with coil springs,"Boxes Springs and Foundations can be made in a number of ways, typically they consist of a wood frame, coils and are covered with fabric. They are often treated for stain and mold resistance and this poses a health problem. Check the labels and ask questions.",Links for info,,
4,Bedsheets,Duvet; Comforter; Sheets; Blankets,"When it comes to fabric-based products always check the label for the composition and any treatments of the items. Avoid the non-organics as remember the majority of pesticides are used in growing cotton and you don’t want to be sleeping, sweating and getting these chemicals in your body. Some items such as 100% bamboo may be a better option, or use GOTS (Global Organic Trade Standard) certified cotton products. For more details see PureLiving.com.",Links for info,,
5,Nightstand,"Construction - wood construction: real wood vs composition, metal construction, plastic; Finish: Paint, Powder Coated, Stain","The key when considering most nightstands is the construction, real or manufactured woods, stains and surface treatments, including painted surfaces. Ideally the nightstand should be all real wood and coated with safe treatments. Check the labels for fire retardants and choose other options.",Links for info,,
6,Desk,"Construction - wood construction: real wood vs composition, metal construction, plastic; Finish: Paint, Powder Coated, Stain","When considering most desks if the construction is wood, consider if it’s, real or manufactured wood. If your desk is metal construction check if its painted or powder coated.  Then check the surfaces for stains and paints and other coatings. And don’t forget the ergonomics of your setup. See the Pure Living page for more information.  ",Links for info,,
7,Ottoman,"Construction - wood construction: real wood vs composition, metal construction, plastic; Finish: Paint, Powder Coated, Stain",,Links for info,,
8,Dresser,"Construction - wood construction: real wood vs composition, metal construction, plastic; Finish: Paint, Powder Coated, Stain, clear coatings",Dressers are made with so many materials it’s important to open the draws and check all surfaces. Commonly made particle board and or carboard construction is generally not a healthy option. Remember to also consider the surface treatments as they are significant.,Links for info,,
9,Chair,"Construction - wood construction: real wood vs composition, metal construction, plastic; Finish: Paint, Powder Coated, Stain","As most chairs incorporate petrochemical foams and may be constructed using plastic or fabric coverings. You’ll commonly find an attached label that will tell you if the products been treated with fire proofing agents. Avoid these and keep on looking for a better option. The surface treatments are commonly using forever chemicals for waterproofing and stain resistance, both are not healthy options. Don’t forget the ergonomics of the chair by seeing our Pure Living page.",Links for info,,
10,Mirror,"Frale - wood: finish: paint, Stain; Metal - paint, stain; Plastic",,Links for info,,
11,Lamp,"Enclosed Lamp: LED, Halogen, Incandescent; Shaded Lamp: LED, Halogen,Incandescent",Curiously most of the shades are made with PVC which has no business in your bedroom. An obvious change is making certain your using LED bulbs as they produce far less hot reducing your exposure to the outgassing.,Links for info,,
12,Clock,"Housing: Metal, Plastic, Combination",,Links for info,,
13,Rug,"Material - Synthetic: Nylon, Polyester, Olefin, Triexta; Natural: Sisal, Wool, Bamboo","Your first question is what’s the composition of the fabric. Rugs can be made from so many fabrics and materials and are often made with glues, dyes, and if they have a backing there are a ton of different materials present. Always check for any information on stain resistant coatings. These tend to be one of the more toxic chemicals coupled with outgassing of glues and other treatments.",Links for info,,
14,Curtains,"Material: Synthetic, Natural","Think about the fabrics, are they organic, using non-toxic dyes and you can see where this is headed. Check the labels and avoid products that are stain resistance. Most washing labels will contain some information on composition of the products. Blinds come in a variety of materials from real wood to plastics and metal. With the inexpensive plastic blinds, you’ll typically find them made of PVC not an ideal material in your home as they contain endocrine disruptors and chlorinated chemicals.",Links for info,,
15,Blinds,"Materials: Synthetic, PVC, PLA, Wood;  Finish: Stain,Paint","Blinds come in a variety of materials from real wood to plastics and metal. With the inexpensive plastic blinds, you’ll typically find them made of PVC not an ideal material in your home. Remember when you pull your shades, they move against each other releasing small amount of material into your home.",Links for info,,
16,Flooring,"Carpet: Synthetic (Nylon, Polyester, Olefin, Triexta), Natural (Sisal, Wool); Carpet Pad: Wool, Foam, Polyester, Rubber ; Wood: (Wood plastic composite (Laminate), Stone Polymer Composite (Laminate), Real Wood, Hybrid), Finishes (Polyurethane, Penetrating oils, Wax); Vinyl (LVT) or sheet: New in last 2 years, Older than 2 years; Linoleum; Concrete: Polished, Stained; Tile: Sealants","Flooring is one of the most complex systems. The subfloor and the actual flooring surface can be a combination of particle board, different types of plywood, or even concrete. What we place as the finished surface includes, vinyl, ceramic, carpet, real and engineered wood and more. Each has its benefits and drawbacks. One consideration is when was the product purchased. As a consumer you’ll notice the big brand stores have recently, last few years, reduced the amount of formaldehyde and other chemicals in their products.",Links for info,,
17,Bookshelf,"Composition: Wood plastic composite (Laminate), Real Wood, Hybrid, Real and composite wood (MDF); Finish: Polyurethane, Paint, Penetrating Oils, Stain, Wax’s",,Links for info,,
18,Laundry Basket,Natural Materials; Synthetic; Plastic,"Still using an inexpensive plastic laundry basket ? Interestingly most are made of 2 plastics, #5 plastic (PP) or #2 plastic (HDPE) which are recyclable and generally considered safe. Perhaps as an option next purchase consider a substitute using natural fibers reducing the recycling load ?",Links for info,,
19,Television,"Brand: Samsung, LG, Sony, TCL, Hisense, Panasonic, Philips, Toshiba, Vizio, TCL Roku TV, Hisense Roku TV, Insignia","Did you know that many brands of televisions outgas volatile organic compounds (VOC’s) chemicals ? Think of the new smell which is typically from flame retardants, deca-BDE and DBDPE found in the plastic casing. Apparently, the usual manufacturers are not providing adequate information to know which to choose as evidenced by the repeated requests from multiple organizations. The best alternative, keep the television out of your bedroom. For more information as it becomes available go to PureLiving.com .",Links for info,,
